Time: 2025-01-17 12:07:33, RAM: 43.4%, CPU: 11.1%
Time: 2025-01-17 12:07:38, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:07:43, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:07:48, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:07:53, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:07:58, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:08:03, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:08:08, RAM: 43.4%, CPU: 12.1%
Time: 2025-01-17 12:08:13, RAM: 43.4%, CPU: 10.9%
Time: 2025-01-17 12:08:18, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 12:08:23, RAM: 43.4%, CPU: 11.6%
Time: 2025-01-17 12:08:28, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:08:33, RAM: 43.4%, CPU: 10.7%
Time: 2025-01-17 12:08:38, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:08:43, RAM: 43.4%, CPU: 10.9%
Time: 2025-01-17 12:08:48, RAM: 43.4%, CPU: 10.8%
Time: 2025-01-17 12:08:53, RAM: 43.4%, CPU: 12.1%
Time: 2025-01-17 12:08:58, RAM: 43.4%, CPU: 11.0%
Time: 2025-01-17 12:09:03, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:09:08, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 12:09:13, RAM: 43.4%, CPU: 10.9%
Time: 2025-01-17 12:09:18, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 12:09:23, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:09:28, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:09:33, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 12:09:38, RAM: 43.4%, CPU: 12.3%
Time: 2025-01-17 12:09:43, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:09:48, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 12:09:53, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:09:58, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 12:10:03, RAM: 43.5%, CPU: 12.2%
Time: 2025-01-17 12:10:08, RAM: 43.4%, CPU: 12.2%
Time: 2025-01-17 12:10:13, RAM: 43.4%, CPU: 11.0%
Time: 2025-01-17 12:10:18, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:10:23, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 12:10:28, RAM: 43.4%, CPU: 12.2%
Time: 2025-01-17 12:10:33, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 12:10:38, RAM: 43.4%, CPU: 10.8%
Time: 2025-01-17 12:10:43, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:10:48, RAM: 43.4%, CPU: 11.6%
Time: 2025-01-17 12:10:53, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:10:58, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:11:03, RAM: 43.5%, CPU: 12.2%
Time: 2025-01-17 12:11:08, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 12:11:13, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:11:18, RAM: 43.5%, CPU: 11.2%
Time: 2025-01-17 12:11:23, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:11:28, RAM: 43.4%, CPU: 12.1%
Time: 2025-01-17 12:11:34, RAM: 43.4%, CPU: 12.5%
Time: 2025-01-17 12:11:39, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 12:11:44, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:11:49, RAM: 43.4%, CPU: 10.8%
Time: 2025-01-17 12:11:54, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:11:59, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:12:04, RAM: 43.4%, CPU: 12.1%
Time: 2025-01-17 12:12:09, RAM: 43.4%, CPU: 12.2%
Time: 2025-01-17 12:12:14, RAM: 43.4%, CPU: 10.6%
Time: 2025-01-17 12:12:19, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:12:24, RAM: 43.4%, CPU: 11.1%
Time: 2025-01-17 12:12:29, RAM: 43.4%, CPU: 12.3%
Time: 2025-01-17 12:12:34, RAM: 43.4%, CPU: 11.0%
Time: 2025-01-17 12:12:39, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:12:44, RAM: 43.4%, CPU: 12.2%
Time: 2025-01-17 12:12:49, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:12:54, RAM: 43.4%, CPU: 11.0%
Time: 2025-01-17 12:12:59, RAM: 43.4%, CPU: 12.3%
Time: 2025-01-17 12:13:04, RAM: 43.5%, CPU: 12.2%
Time: 2025-01-17 12:13:09, RAM: 43.5%, CPU: 11.9%
Time: 2025-01-17 12:13:14, RAM: 43.5%, CPU: 11.8%
Time: 2025-01-17 12:13:19, RAM: 43.5%, CPU: 11.9%
Time: 2025-01-17 12:13:24, RAM: 43.5%, CPU: 11.7%
Time: 2025-01-17 12:13:29, RAM: 43.5%, CPU: 11.8%
Time: 2025-01-17 12:13:34, RAM: 43.5%, CPU: 11.4%
Time: 2025-01-17 12:13:39, RAM: 43.5%, CPU: 11.8%
Time: 2025-01-17 12:13:44, RAM: 43.5%, CPU: 11.8%
Time: 2025-01-17 12:13:49, RAM: 43.5%, CPU: 10.9%
Time: 2025-01-17 12:13:54, RAM: 43.5%, CPU: 12.1%
Time: 2025-01-17 12:13:59, RAM: 43.4%, CPU: 10.4%
Time: 2025-01-17 12:14:04, RAM: 43.5%, CPU: 12.2%
Time: 2025-01-17 12:14:09, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:14:14, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:14:19, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 12:14:24, RAM: 43.4%, CPU: 10.9%
Time: 2025-01-17 12:14:29, RAM: 43.4%, CPU: 12.2%
Time: 2025-01-17 12:14:34, RAM: 43.4%, CPU: 10.5%
Time: 2025-01-17 12:14:39, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 12:14:44, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:14:49, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 12:14:54, RAM: 43.4%, CPU: 11.2%
